Title,Runtime,Release Date,IMDB Rating,Critics Score,Votes,Gross
The Shawshank Redemption,142,1994,9.3,8.0,2520200,28341469
Fight Club,139,1999,8.8,6.6,1982088,37030102
Forrest Gump,142,1994,8.8,8.2,1944924,330252182
Pulp Fiction,154,1994,8.9,9.4,1942268,107928762
The Matrix,136,1999,8.7,7.3,1814313,171479930
Seven,127,1995,8.6,6.5,1547116,100125643
The Silence of the Lambs,118,1991,8.6,8.5,1355803,130742922
Saving Private Ryan,169,1998,8.6,9.1,1316036,216540909
Schindler's List,195,1993,8.9,9.4,1288217,96898818
The Green Mile,189,1999,8.6,6.1,1226112,136801374
Star Wars: Episode V - The Empire Strikes Back,124,1980,8.7,8.2,1224593,290475067
Back to the Future,116,1985,8.5,8.7,1134175,210609762
American Beauty,122,1999,8.3,8.4,1116801,130096601
Titanic,194,1997,7.8,7.5,1113303,659325379
Leon,110,1994,8.5,6.4,1101807,19501238
Goodfellas,146,1990,8.7,9.0,1090440,46836394
American History X,119,1998,8.5,6.2,1080025,6719864
Terminator 2: Judgment Day,137,1991,8.5,7.5,1048787,204843350
The Usual Suspects,106,1995,8.5,7.7,1042967,23341568
The Truman Show,103,1998,8.1,9.0,1009229,125618201
Star Wars: Return of the Jedi,131,1983,8.3,5.8,1001345,309125409
The Lion King,88,1994,8.5,8.8,1000977,422783777
Braveheart,178,1995,8.3,6.8,1000426,75600000
Reservoir Dogs,99,1992,8.3,7.9,972258,2832029
The Shining,146,1980,8.4,6.6,963118,44017374
The Sixth Sense,107,1999,8.1,6.4,953635,293506292
Toy Story,81,1995,8.3,9.5,942577,191796233
Raiders of the Lost Ark,115,1981,8.4,8.5,929024,248159971
Jurassic Park,127,1993,8.1,6.8,925064,402453882
Good Will Hunting,126,1997,8.3,7.0,917187,138433435
Die Hard,132,1988,8.2,7.2,843299,83008852
The Terminator,107,1984,8.0,8.4,828539,38400000
Scarface,170,1983,8.3,6.5,792434,45598982
The Big Lebowski,117,1998,8.1,7.1,776988,17498804
Star Wars: Episode I - The Phantom Menace,136,1999,6.5,5.1,766129,474544677
Blade Runner,117,1982,8.1,8.4,735023,32868943
Indiana Jones and the Last Crusade,127,1989,8.2,6.5,726792,197171806
Full Metal Jacket,116,1987,8.3,7.6,711198,46357676
Aliens,137,1986,8.3,8.4,688463,85160248
Trainspotting,93,1996,8.1,8.3,663824,16501785
Life Is Beautiful,116,1997,8.6,5.9,663154,57598247
Fargo,98,1996,8.1,8.5,652271,24611975
Heat,170,1995,8.2,7.6,620053,67436818
Groundhog Day,101,1993,8.0,7.2,601828,70906973
Twelve Monkeys,129,1995,8.0,7.4,601636,57141459
"Lock, Stock and Two Smoking Barrels",107,1998,8.2,6.6,562426,3897569
L.A. Confidential,138,1997,8.2,9.0,561211,64616940
Toy Story 2,92,1999,7.9,8.8,556009,245852179
Independence Day,145,1996,7.0,5.9,555043,306169255
Men in Black,98,1997,7.3,7.1,544029,250690539
Home Alone,103,1990,7.6,6.3,542567,285761243
Back to the Future Part II,108,1989,7.8,5.7,508932,118500000
Casino,178,1995,8.2,7.3,495970,42438300
Rain Man,133,1988,8.0,6.5,495542,178800000
Indiana Jones and the Temple of Doom,118,1984,7.5,5.7,471086,179870271
Edward Scissorhands,105,1990,7.9,7.4,469986,56362352
Dead Poets Society,128,1989,8.1,7.9,458795,95860116
The Fifth Element,126,1997,7.7,5.2,455869,63540020
Beauty and the Beast,84,1991,8.0,9.5,432892,218967620
Back to the Future Part III,118,1990,7.4,5.5,427960,87727583
The Princess Bride,98,1987,8.1,7.7,415115,30857814
The Mummy,124,1999,7.1,4.8,412815,155247825
Armageddon,151,1998,6.7,4.2,412732,201573391
Mission: Impossible,110,1996,7.1,5.9,407607,180981856
The Thing,109,1982,8.1,5.7,400672,13782838
Platoon,120,1986,8.1,9.2,400072,138530565
The Lost World: Jurassic Park,129,1997,6.6,5.9,399316,229086679
Unforgiven,130,1992,8.2,8.5,397346,101157447
American Pie,95,1999,7.0,5.8,393859,102561004
Predator,107,1987,7.8,4.5,392899,59735548
E.T. the Extra-Terrestrial,115,1982,7.8,9.1,392815,435110554
Aladdin,90,1992,8.0,8.6,392249,217350219
Ghostbusters,105,1984,7.8,7.1,390695,238632124
Amadeus,160,1984,8.3,8.8,387223,51973029
Stand by Me,89,1986,8.1,7.5,385136,52287414
The Godfather: Part III,162,1990,7.6,6.0,380279,66666062
Die Hard: With a Vengeance,128,1995,7.6,5.8,378306,100012499
The Breakfast Club,97,1985,7.8,6.6,378231,45875171
The Game,129,1997,7.7,6.1,375868,48323648
Princess Mononoke,134,1997,8.4,7.6,372240,2375308
Dumb and Dumber,107,1994,7.3,4.1,371216,127175354
The Mask,101,1994,6.9,5.6,368787,119938730
Face/Off,138,1997,7.2,8.2,364407,112225777
Batman,126,1989,7.5,6.9,357290,251188924
The Devil's Advocate,144,1997,7.5,6.0,353659,60984028
Die Hard 2,124,1990,7.1,6.7,353104,117540947
Speed,116,1994,7.2,7.8,349494,121248145
Sleepy Hollow,105,1999,7.3,6.5,348159,101071502
Ferris Bueller's Day Off,103,1986,7.8,6.1,341527,70136369
Raging Bull,129,1980,8.2,8.9,340122,23383987
Home Alone 2: Lost in New York,120,1992,6.8,4.6,339157,173585516
Jackie Brown,154,1997,7.5,6.4,335793,39673162
Once Upon a Time in America,229,1984,8.3,7.5,335627,5321508
Jumanji,104,1995,7.0,3.9,330071,100475249
The Rock,136,1996,7.4,5.8,327096,134069511
Being John Malkovich,113,1999,7.7,9.0,326221,22858926
Eyes Wide Shut,159,1999,7.4,6.8,323985,55691208
The Nightmare Before Christmas,76,1993,8.0,8.2,322315,75082668
10 Things I Hate About You,97,1999,7.3,7.0,320981,38176108
Total Recall,113,1990,7.5,5.7,318871,119394840
My Neighbour Totoro,86,1988,8.2,8.6,318114,1105564
Top Gun,110,1986,6.9,5.0,315502,179800601
Scream,111,1996,7.3,6.5,315028,103046663
Pretty Woman,119,1990,7.1,5.1,309774,178406268
Interview with the Vampire: The Vampire Chronicles,123,1994,7.5,5.9,309171,105264608
There's Something About Mary,119,1998,7.1,6.9,303601,176484651
Magnolia,188,1999,8.0,7.7,303490,22455976
From Dusk Till Dawn,108,1996,7.2,4.8,302471,25753840
The Untouchables,119,1987,7.9,7.9,298461,76270454
Liar Liar,86,1997,6.9,7.0,296948,181410615
Notting Hill,124,1999,7.1,6.8,296607,116089678
Donnie Brasco,127,1997,7.7,7.6,295067,41909762
Gattaca,106,1997,7.8,6.4,293449,12339633
Before Sunrise,101,1995,8.1,7.7,291936,5535405
Ace Ventura: Pet Detective,86,1994,6.9,3.7,291182,72217000
Alien³,114,1992,6.4,5.9,290869,55473600
As Good as It Gets,139,1997,7.7,6.7,290710,148478011
Batman Returns,126,1992,7.0,6.8,289826,162831698
Con Air,115,1997,6.9,5.2,289083,101117573
Beetlejuice,92,1988,7.5,7.0,284925,73707461
Apollo 13,140,1995,7.6,7.7,284838,173837933
Starship Troopers,129,1997,7.2,5.1,283392,54814377
Scent of a Woman,156,1992,8.0,5.9,283243,63895607
The Fugitive,130,1993,7.8,8.7,283106,183875760
A Bug's Life,95,1998,7.2,7.7,281405,162798565
Mulan,88,1998,7.7,7.1,273392,120620254
Fear and Loathing in Las Vegas,118,1998,7.6,4.1,271862,10680275
Contact,150,1997,7.5,6.2,266743,100920329
Blade,120,1998,7.1,4.7,261220,70087718
Mrs. Doubtfire,125,1993,7.0,5.3,260545,219200000
The Goonies,114,1985,7.8,6.2,260437,61503218
Grave of the Fireflies,89,1988,8.5,9.4,258687,0
Jerry Maguire,139,1996,7.3,7.7,256009,153952592
Rush Hour,98,1998,7.0,6.0,255896,141153686
Office Space,89,1999,7.7,6.8,255660,10824921
Bad Boys,119,1995,6.9,4.1,254678,65807024
Boogie Nights,155,1997,7.9,8.5,254335,26400640
Dances with Wolves,181,1990,8.0,7.2,253862,184208848
A Few Good Men,138,1992,7.7,6.2,251173,141340178
GoldenEye,130,1995,7.2,6.5,250951,106600000
The Little Mermaid,83,1989,7.6,8.8,250898,111543479
True Lies,141,1994,7.2,6.3,250422,146282411
Lethal Weapon,109,1987,7.6,6.8,250082,65207127
Cinema Paradiso,155,1988,8.5,8.0,249545,11990401
The Blair Witch Project,81,1999,6.5,8.1,248274,140539099
RoboCop,102,1987,7.6,6.7,247498,53424681
Hook,142,1991,6.8,5.2,246324,119654823
Batman Forever,121,1995,5.4,5.1,243873,184031112
Batman & Robin,125,1997,3.8,2.8,243781,107325195
Das Boot,149,1981,8.3,8.6,243511,11487676
First Blood,93,1982,7.7,6.1,241695,47212904
Alien Resurrection,109,1997,6.2,6.3,240295,47748610
Enemy of the State,132,1998,7.3,6.7,237158,111549836
The Boondock Saints,108,1999,7.7,4.4,234790,25812
Philadelphia,125,1993,7.7,6.6,234712,77324422
The Elephant Man,124,1980,8.1,7.8,233379,0
Austin Powers: International Man of Mystery,94,1997,7.0,5.1,232832,53883989
Meet Joe Black,178,1998,7.2,4.3,230111,44619100
What's Eating Gilbert Grape,118,1993,7.7,7.3,228535,9170214
Airplane!,88,1980,7.7,7.8,228050,83400000
Natural Born Killers,118,1994,7.3,7.4,227448,50282766
Austin Powers: The Spy Who Shagged Me,95,1999,6.6,5.9,226609,206040086
A Nightmare on Elm Street,91,1984,7.5,7.6,225482,25504513
Gandhi,191,1982,8.0,7.9,225040,52767889
Cube,90,1997,7.2,6.1,223502,501818
Mars Attacks!,106,1996,6.4,5.2,221049,37771017
Romeo + Juliet,120,1996,6.7,6.0,221018,46351345
Shakespeare in Love,123,1998,7.1,8.7,220781,100317794
Hercules,93,1997,7.3,7.4,219673,99046791
True Romance,119,1993,7.9,5.9,219667,12281500
Dirty Dancing,100,1987,7.0,6.5,219199,622968
Clerks,92,1994,7.7,7.0,218010,3151130
Tarzan,88,1999,7.3,7.9,216178,171091819
Gremlins,106,1984,7.3,7.0,214716,148170000
Dogma,130,1999,7.3,6.2,213912,30651422
Happy Gilmore,92,1996,7.0,3.1,212744,38624000
The Karate Kid,126,1984,7.3,6.0,212236,90815558
Big,104,1988,7.3,7.3,211682,114968774
Sleepers,147,1996,7.6,4.9,211552,49100000
Carlito's Way,144,1993,7.9,6.5,211208,36948322
Ace Ventura: When Nature Calls,90,1995,6.4,4.5,211137,108385533
Big Daddy,93,1999,6.4,4.1,209947,163479795
Ghost,127,1990,7.1,5.2,209373,217631306
When Harry Met Sally,95,1989,7.6,7.6,209241,92823600
Bram Stoker's Dracula,128,1992,7.4,5.7,208182,82522790
You've Got Mail,119,1998,6.7,5.7,206356,115821495
Primal Fear,129,1996,7.7,4.7,204025,56116183
Clueless,97,1995,6.9,6.8,202929,56631572
Coming to America,117,1988,7.1,4.7,201652,128152300
The Talented Mr. Ripley,139,1999,7.4,7.6,200560,81298265
"South Park: Bigger, Longer & Uncut",81,1999,7.7,7.3,200233,52037603
The Evil Dead,85,1981,7.5,7.1,199348,2400000
Misery,107,1990,7.8,7.5,199129,61276872
Rocky IV,91,1985,6.9,4.0,198024,127873716
Ghostbusters II,108,1989,6.6,5.6,197432,112494738
The World Is Not Enough,128,1999,6.4,5.7,196772,126943684
Brazil,132,1985,7.9,8.4,196598,9929135
Dark City,100,1998,7.6,6.6,195518,14378331
Run Lola Run,81,1998,7.7,7.7,195212,7267585
Who Framed Roger Rabbit,104,1988,7.7,8.3,193626,156452370
The Blues Brothers,133,1980,7.9,6.0,192926,57229890
Basic Instinct,127,1992,7.0,4.1,191812,117727000
Blue Velvet,120,1986,7.7,7.6,191769,8551228
The Hunt for Red October,135,1990,7.6,5.8,191647,122012643
Space Jam,88,1996,6.5,5.9,191610,90463534
Waterworld,135,1995,6.2,5.6,190913,88246220
Tomorrow Never Dies,119,1997,6.5,5.2,190132,125332007
Air Force One,124,1997,6.5,6.1,189964,172956409
Twister,113,1996,6.4,6.8,189603,241721524
Godzilla,139,1998,5.4,3.2,189597,136314294
