Title,Runtime,Release Date,IMDB Rating,Critics Score,Votes,Gross
The Shawshank Redemption,142,1994,9.3,8.0,2519513,28341469
The Dark Knight,152,2008,9.0,8.4,2469864,534858444
Fight Club,139,1999,8.8,6.6,1981544,37030102
Forrest Gump,142,1994,8.8,8.2,1944380,330252182
Pulp Fiction,154,1994,8.9,9.4,1941833,107928762
The Lord of the Rings: The Fellowship of the Ring,178,2001,8.8,9.2,1760596,315544750
The Lord of the Rings: The Return of the King,201,2003,8.9,9.4,1739524,377845905
The Godfather,175,1972,9.2,10.0,1734928,134966411
Interstellar,169,2014,8.6,7.4,1665987,188020017
The Dark Knight Rises,164,2012,8.4,7.8,1604791,448139099
The Lord of the Rings: The Two Towers,179,2002,8.7,8.7,1571980,342551365
Seven,127,1995,8.6,6.5,1546739,100125643
Django Unchained,165,2012,8.4,8.1,1456845,162805434
Gladiator,155,2000,8.5,6.7,1423725,187705427
Batman Begins,140,2005,8.2,7.0,1381898,206852432
Inglourious Basterds,153,2009,8.3,6.9,1359473,120540719
The Silence of the Lambs,118,1991,8.6,8.5,1355496,130742922
Saving Private Ryan,169,1998,8.6,9.1,1315728,216540909
The Wolf of Wall Street,180,2013,8.2,7.5,1298245,116900694
Schindler's List,195,1993,8.9,9.4,1287916,96898818
The Prestige,130,2006,8.5,6.6,1266573,53089891
The Departed,151,2006,8.5,8.5,1260607,132384315
The Green Mile,189,1999,8.6,6.1,1225793,136801374
The Godfather: Part II,202,1974,9.0,9.0,1203887,57300000
Joker,122,2019,8.4,5.9,1121441,335451311
American Beauty,122,1999,8.3,8.4,1116646,130096601
Titanic,194,1997,7.8,7.5,1113082,659325379
Leon,110,1994,8.5,6.4,1101547,19501238
Goodfellas,146,1990,8.7,9.0,1090156,46836394
V for Vendetta,132,2005,8.1,6.2,1082014,70511035
American History X,119,1998,8.5,6.2,1079857,6719864
Kill Bill: Vol. 1,111,2003,8.1,6.9,1063007,70099045
The Usual Suspects,106,1995,8.5,7.7,1042753,23341568
The Truman Show,103,1998,8.1,9.0,1008963,125618201
The Lion King,88,1994,8.5,8.8,1000736,422783777
Braveheart,178,1995,8.3,6.8,1000239,75600000
Up,96,2009,8.2,8.8,991682,293004164
Avengers: Endgame,181,2019,8.4,7.8,988163,858373000
Reservoir Dogs,99,1992,8.3,7.9,972076,2832029
One Flew Over the Cuckoo's Nest,133,1975,8.7,8.4,966771,112000000
The Shining,146,1980,8.4,6.6,962877,44017374
Eternal Sunshine of the Spotless Mind,108,2004,8.3,8.9,961831,34400301
The Sixth Sense,107,1999,8.1,6.4,953482,293506292
Gone Girl,149,2014,8.1,7.9,927555,167767189
No Country for Old Men,122,2007,8.1,9.1,918947,74283625
Good Will Hunting,126,1997,8.3,7.0,916956,138433435
Catch Me If You Can,141,2002,8.1,7.5,909630,164615351
A Beautiful Mind,135,2001,8.2,7.2,893757,170742341
Slumdog Millionaire,120,2008,8.0,8.4,824511,141319928
Untouchable,112,2011,8.5,5.7,811811,13182281
The Martian,144,2015,8.0,8.0,810259,228433663
Requiem for a Dream,102,2000,8.3,6.8,805717,3635482
Gravity,91,2013,7.7,9.6,800656,274092705
Scarface,170,1983,8.3,6.5,792231,45598982
The Pianist,150,2002,8.5,8.5,785592,32572577
Whiplash,106,2014,8.5,8.8,782069,13092000
Taxi Driver,114,1976,8.2,9.4,775651,28262574
Donnie Darko,113,2001,8.0,8.8,772404,1480006
300,117,2006,7.6,5.2,764829,210614939
The Revenant,156,2015,8.0,7.6,758536,183637894
Gran Torino,116,2008,8.1,7.2,750659,148095302
12 Angry Men,96,1957,9.0,9.6,744059,4360000
Blade Runner,117,1982,8.1,8.4,734869,32868943
Black Swan,108,2010,8.0,7.9,733617,106954678
The Imitation Game,114,2014,8.0,7.1,730865,91125683
City of God,130,2002,8.6,7.9,730327,7563397
I Am Legend,101,2007,7.2,6.5,723876,256386216
Full Metal Jacket,116,1987,8.3,7.6,711042,46357676
Logan,137,2017,8.1,7.7,705480,226277068
Parasite,132,2019,8.6,9.6,700996,53367844
Silver Linings Playbook,122,2012,7.7,8.1,688264,132092958
12 Years a Slave,134,2013,8.1,9.6,673499,56671993
Inside Out,95,2015,8.1,9.4,667898,356461711
The Social Network,120,2010,7.7,9.5,666805,96962694
