,Title,Runtime,Release Date,IMDB Rating,Critics Score,Votes,Gross
0,The Shawshank Redemption,142 min,(1994),9.3,80,2519513,28341469
1,The Dark Knight,152 min,(2008),9.0,84,2469864,534858444
2,Fight Club,139 min,(1999),8.8,66,1981544,37030102
3,Forrest Gump,142 min,(1994),8.8,82,1944380,330252182
4,Pulp Fiction,154 min,(1994),8.9,94,1941833,107928762
5,The Lord of the Rings: The Fellowship of the Ring,178 min,(2001),8.8,92,1760596,315544750
6,The Lord of the Rings: The Return of the King,201 min,(2003),8.9,94,1739524,377845905
7,The Godfather,175 min,(1972),9.2,100,1734928,134966411
8,Interstellar,169 min,(2014),8.6,74,1665987,188020017
9,The Dark Knight Rises,164 min,(2012),8.4,78,1604791,448139099
10,The Lord of the Rings: The Two Towers,179 min,(2002),8.7,87,1571980,342551365
11,Seven,127 min,(1995),8.6,65,1546739,100125643
12,Django Unchained,165 min,(2012),8.4,81,1456845,162805434
13,Gladiator,155 min,(2000),8.5,67,1423725,187705427
14,Batman Begins,140 min,(2005),8.2,70,1381898,206852432
15,Inglourious Basterds,153 min,(2009),8.3,69,1359473,120540719
16,The Silence of the Lambs,118 min,(1991),8.6,85,1355496,130742922
17,Saving Private Ryan,169 min,(1998),8.6,91,1315728,216540909
18,The Wolf of Wall Street,180 min,(2013),8.2,75,1298245,116900694
19,Schindler's List,195 min,(1993),8.9,94,1287916,96898818
20,The Prestige,130 min,(2006),8.5,66,1266573,53089891
21,The Departed,151 min,(2006),8.5,85,1260607,132384315
22,The Green Mile,189 min,(1999),8.6,61,1225793,136801374
23,The Godfather: Part II,202 min,(1974),9.0,90,1203887,57300000
24,Joker,122 min,(2019),8.4,59,1121441,335451311
25,American Beauty,122 min,(1999),8.3,84,1116646,130096601
26,Titanic,194 min,(1997),7.8,75,1113082,659325379
27,Leon,110 min,(1994),8.5,64,1101547,19501238
28,Goodfellas,146 min,(1990),8.7,90,1090156,46836394
29,V for Vendetta,132 min,(2005),8.1,62,1082014,70511035
30,American History X,119 min,(1998),8.5,62,1079857,6719864
31,Kill Bill: Vol. 1,111 min,(2003),8.1,69,1063007,70099045
32,The Usual Suspects,106 min,(1995),8.5,77,1042753,23341568
33,The Truman Show,103 min,(1998),8.1,90,1008963,125618201
34,The Lion King,88 min,(1994),8.5,88,1000736,422783777
35,Braveheart,178 min,(1995),8.3,68,1000239,75600000
36,Up,96 min,(2009),8.2,88,991682,293004164
37,Avengers: Endgame,181 min,(2019),8.4,78,988163,858373000
38,Reservoir Dogs,99 min,(1992),8.3,79,972076,2832029
39,One Flew Over the Cuckoo's Nest,133 min,(1975),8.7,84,966771,112000000
40,The Shining,146 min,(1980),8.4,66,962877,44017374
41,Eternal Sunshine of the Spotless Mind,108 min,(2004),8.3,89,961831,34400301
42,The Sixth Sense,107 min,(1999),8.1,64,953482,293506292
43,Gone Girl,149 min,(2014),8.1,79,927555,167767189
44,No Country for Old Men,122 min,(2007),8.1,91,918947,74283625
45,Good Will Hunting,126 min,(1997),8.3,70,916956,138433435
46,Catch Me If You Can,141 min,(2002),8.1,75,909630,164615351
47,A Beautiful Mind,135 min,(2001),8.2,72,893757,170742341
48,Slumdog Millionaire,120 min,(2008),8.0,84,824511,141319928
49,Untouchable,112 min,(2011),8.5,57,811811,13182281
50,The Martian,144 min,(2015),8.0,80,810259,228433663
51,Requiem for a Dream,102 min,(2000),8.3,68,805717,3635482
52,Gravity,91 min,(2013),7.7,96,800656,274092705
53,Scarface,170 min,(1983),8.3,65,792231,45598982
54,The Pianist,150 min,(2002),8.5,85,785592,32572577
55,Whiplash,106 min,(2014),8.5,88,782069,13092000
56,Taxi Driver,114 min,(1976),8.2,94,775651,28262574
57,Donnie Darko,113 min,(2001),8.0,88,772404,1480006
58,300,117 min,(2006),7.6,52,764829,210614939
59,The Revenant,156 min,(2015),8.0,76,758536,183637894
60,Gran Torino,116 min,(2008),8.1,72,750659,148095302
61,12 Angry Men,96 min,(1957),9.0,96,744059,4360000
62,Blade Runner,117 min,(1982),8.1,84,734869,32868943
63,Black Swan,108 min,(2010),8.0,79,733617,106954678
64,The Imitation Game,114 min,(2014),8.0,71,730865,91125683
65,City of God,130 min,(2002),8.6,79,730327,7563397
66,I Am Legend,101 min,(2007),7.2,65,723876,256386216
67,Full Metal Jacket,116 min,(1987),8.3,76,711042,46357676
68,Logan,137 min,(2017),8.1,77,705480,226277068
69,Parasite,132 min,(2019),8.6,96,700996,53367844
70,Silver Linings Playbook,122 min,(2012),7.7,81,688264,132092958
71,12 Years a Slave,134 min,(2013),8.1,96,673499,56671993
72,Inside Out,95 min,(I) (2015),8.1,94,667898,356461711
73,The Social Network,120 min,(2010),7.7,95,666805,96962694
74,Million Dollar Baby,132 min,(2004),8.1,86,665207,100492203
75,Trainspotting,93 min,(1996),8.1,83,663726,16501785
76,Life Is Beautiful,116 min,(1997),8.6,59,663032,57598247
77,The King's Speech,118 min,(2010),8.0,88,662542,138797449
78,Once Upon a Time... In Hollywood,161 min,(2019),7.6,83,660271,142502728
79,Prisoners,153 min,(2013),8.1,70,655457,61002302
80,Arrival,116 min,(II) (2016),7.9,81,654142,100546139
81,Pan's Labyrinth,118 min,(2006),8.2,98,646306,37634615
82,The Hunger Games: Catching Fire,146 min,(2013),7.5,76,641268,424668047
83,Apocalypse Now,147 min,(1979),8.4,94,639346,83471511
84,The Curious Case of Benjamin Button,166 min,(2008),7.8,70,623269,127509326
85,Heat,170 min,(1995),8.2,76,619895,67436818
86,Dunkirk,106 min,(2017),7.8,94,611442,188373161
87,Birdman or (The Unexpected Virtue of Ignorance),119 min,(2014),7.7,87,608376,42340598
88,Life of Pi,127 min,(2012),7.9,79,607429,124987023
89,Drive,100 min,(I) (2011),7.8,78,604850,35061555
90,Into the Wild,148 min,(2007),8.1,73,602293,18354356
91,Argo,120 min,(2012),7.7,86,597079,136025503
92,Her,126 min,(2013),8.0,91,577807,25568251
93,Cast Away,143 min,(2000),7.8,73,563452,233632142
94,The Hateful Eight,168 min,(2015),7.8,68,563398,54117416
95,Knives Out,130 min,(2019),7.9,82,562320,165359751
96,L.A. Confidential,138 min,(1997),8.2,90,561094,64616940
97,Looper,113 min,(2012),7.4,84,558567,66486205
98,There Will Be Blood,158 min,(2007),8.2,93,555286,40222514
99,Oldboy,120 min,(2003),8.4,77,550520,707481
100,Casablanca,102 min,(1942),8.5,100,550208,1024560
101,La La Land,128 min,(2016),8.0,94,550048,151101803
102,Rocky,120 min,(1976),8.1,70,548462,117235247
