,Title,Runtime,Release Date,IMDB Rating,Critics Score,Votes,Gross
0,The Godfather,175 min,(1972),9.2,100,1735323,134966411
1,Star Wars: Episode IV - A New Hope,121 min,(1977),8.6,90,1296194,322740140
2,The Godfather: Part II,202 min,(1974),9.0,90,1204159,57300000
3,One Flew Over the Cuckoo's Nest,133 min,(1975),8.7,84,966954,112000000
4,Alien,117 min,(1979),8.4,89,837317,78900000
5,A Clockwork Orange,136 min,(1971),8.3,77,796652,6207725
6,Taxi Driver,114 min,(1976),8.2,94,775865,28262574
7,"The Good, the Bad and the Ugly",148 min,(1966),8.8,90,728851,6100000
8,Psycho,109 min,(1960),8.5,97,641236,32000000
9,2001: A Space Odyssey,149 min,(1968),8.3,84,639783,56954992
10,Apocalypse Now,147 min,(1979),8.4,94,639456,83471511
11,Jaws,124 min,(1975),8.0,87,571558,260000000
12,Rocky,120 min,(1976),8.1,70,548592,117235247
13,Monty Python and the Holy Grail,91 min,(1975),8.2,91,523924,1229197
14,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95 min,(1964),8.4,97,473151,275902
15,Life of Brian,94 min,(1979),8.1,77,386607,20045115
16,The Exorcist,122 min,(1973),8.0,81,383148,232906145
17,The Deer Hunter,183 min,(1978),8.1,86,328529,48979328
18,Once Upon a Time in the West,165 min,(1968),8.5,80,318500,5321508
19,Chinatown,130 min,(1974),8.2,92,313899,8486653
20,To Kill a Mockingbird,129 min,(1962),8.2,88,307476,none
21,Lawrence of Arabia,228 min,(1962),8.3,100,283349,44824144
22,The Graduate,106 min,(1967),8.0,83,265944,104945305
23,Halloween,91 min,(1978),7.7,87,261028,47000000
24,Annie Hall,93 min,(1977),8.0,92,260091,39200000
25,Grease,110 min,(1978),7.2,70,258066,188755690
26,The Sting,129 min,(1973),8.3,83,253538,159600000
27,Dog Day Afternoon,125 min,(1975),8.0,86,248681,50000000
28,For a Few Dollars More,132 min,(1965),8.2,74,247108,15000000
29,The Great Escape,172 min,(1963),8.2,86,236855,12100000
30,The Sound of Music,172 min,(1965),8.0,63,220504,163214286
31,Butch Cassidy and the Sundance Kid,110 min,(1969),8.0,66,210938,102308889
32,A Fistful of Dollars,99 min,(1964),8.0,65,209689,14500000
33,Rosemary's Baby,137 min,(1968),8.0,96,207104,none
34,Rocky II,119 min,(1979),7.3,61,202081,6390537
35,Mad Max,88 min,(1979),6.9,73,201013,8750000
36,Close Encounters of the Third Kind,138 min,(1977),7.6,90,195100,132088635
37,Willy Wonka & the Chocolate Factory,100 min,(1971),7.8,67,192328,4000000
38,Goldfinger,110 min,(1964),7.7,87,184255,51081062
39,The Birds,119 min,(1963),7.7,90,182253,11403529
40,Carrie,98 min,(1976),7.4,85,179351,33800000
41,The Jungle Book,78 min,(1967),7.6,65,175310,141843612
42,The Apartment,125 min,(1960),8.3,94,174906,18600000
43,Breakfast at Tiffany's,115 min,(1961),7.6,76,174797,none
44,Planet of the Apes,112 min,(1968),8.0,79,174418,33395426
45,Cool Hand Luke,127 min,(1967),8.1,92,172054,16217773
46,Superman,143 min,(1978),7.3,81,168991,134218018
47,Mary Poppins,139 min,(1964),7.8,88,166516,102272727
48,101 Dalmatians,79 min,(1961),7.3,83,162094,144880014
49,Barry Lyndon,185 min,(1975),8.1,89,160888,none
50,Dr. No,110 min,(1962),7.2,78,160613,16067035
51,Network,121 min,(1976),8.1,83,154130,none
52,Young Frankenstein,106 min,(1974),8.0,80,153533,86300000
53,Dirty Harry,102 min,(1971),7.7,87,151252,35900000
54,The Texas Chain Saw Massacre,83 min,(1974),7.5,78,150216,30859000
55,The Rocky Horror Picture Show,100 min,(1975),7.4,65,144722,139876417
56,Kramer vs. Kramer,105 min,(1979),7.8,77,140885,106260000
57,Manhattan,96 min,(1979),7.9,83,137570,45700000
58,Blazing Saddles,93 min,(1974),7.7,73,133932,119500000
59,Spartacus,197 min,(1960),7.9,87,131390,30000000
60,From Russia with Love,115 min,(1963),7.4,83,129411,24796765
61,Escape from Alcatraz,112 min,(1979),7.6,76,129120,43000000
62,Stalker,162 min,(1979),8.1,76,128778,234723
63,Papillon,151 min,(1973),8.0,58,127484,53267000
64,Night of the Living Dead,96 min,(1968),7.9,89,124140,89029
65,Robin Hood,83 min,(1973),7.6,57,122457,32056467
66,Yojimbo,110 min,(1961),8.2,93,118857,none
67,Serpico,113 min,(1973),7.7,87,118508,29800000
68,National Lampoon's Animal House,109 min,(1978),7.5,79,117967,201747
69,The French Connection,104 min,(1971),7.7,94,117836,15630710
70,Dawn of the Dead,127 min,(1978),7.9,71,117393,5100000
71,Federico Fellini's 8½,138 min,(1963),8.0,91,114836,50690
72,The Omen,111 min,(1976),7.5,62,114649,4273886
73,Thunderball,130 min,(1965),7.0,64,114238,63600000
74,Persona,85 min,(1966),8.1,86,112821,none
75,Eraserhead,89 min,(1977),7.4,87,111360,7000000
76,All the President's Men,138 min,(1976),8.0,84,111209,70600000
77,Bonnie and Clyde,111 min,(1967),7.8,86,109400,none
78,Midnight Cowboy,113 min,(1969),7.8,79,107815,44785053
79,The Conversation,113 min,(1974),7.8,85,107517,4420000
80,West Side Story,153 min,(1961),7.5,86,107055,43656822
81,Easy Rider,95 min,(1969),7.3,85,107045,41728598
82,Mean Streets,112 min,(1973),7.2,96,106097,3132645
83,You Only Live Twice,117 min,(1967),6.8,61,105749,43084787
84,The Spy Who Loved Me,125 min,(1977),7.1,55,105298,46800000
85,Deliverance,109 min,(1972),7.7,80,104810,7056013
86,Live and Let Die,121 min,(1973),6.8,55,104031,35377836
87,Diamonds Are Forever,120 min,(1971),6.6,59,102977,43819547
88,The Man with the Golden Gun,125 min,(1974),6.7,43,102268,20972000
89,Enter The Dragon,102 min,(1973),7.7,83,102015,25000000
90,The AristoCats,78 min,(1970),7.1,66,100073,37675257
91,Patton,172 min,(1970),7.9,91,99687,61700000
92,The Warriors,92 min,(1979),7.6,65,99489,22490039
93,Lolita,153 min,(1962),7.5,79,98230,9250000
94,Moonraker,126 min,(1979),6.3,66,97633,70308099
95,The Sword in the Stone,79 min,(1963),7.2,61,94725,22182353
96,My Fair Lady,170 min,(1964),7.8,95,92520,72000000
97,The Magnificent Seven,128 min,(1960),7.7,74,92473,4905000
98,Suspiria,99 min,(1977),7.4,79,88925,none
99,On Her Majesty's Secret Service,142 min,(1969),6.7,61,88186,22800000
100,Solaris,167 min,(1972),8.0,90,88060,none
101,Star Trek: The Motion Picture,132 min,(1979),6.4,48,87209,82258456
102,American Graffiti,110 min,(1973),7.4,97,86917,115000000
103,The Wild Bunch,145 min,(1969),7.9,97,82428,12064472
104,The Hustler,134 min,(1961),8.0,90,80107,8284000
105,Breathless,90 min,(1960),7.8,90,78452,336705
106,The Wicker Man,88 min,(1973),7.5,87,77742,60891
107,Midnight Express,121 min,(1978),7.6,59,77628,35000000
108,Saturday Night Fever,118 min,(1977),6.8,77,77231,94213184
109,Jaws 2,116 min,(1978),5.8,51,76072,102922376
110,Harold and Maude,91 min,(1971),7.9,62,75679,none
111,Judgment at Nuremberg,179 min,(1961),8.2,60,74765,none
112,Charade,113 min,(1963),7.9,83,74271,13474588
113,The Manchurian Candidate,126 min,(1962),7.9,94,74192,none
114,Doctor Zhivago,193 min,(1965),8.0,69,74180,111722000
115,The Man Who Shot Liberty Valance,123 min,(1962),8.1,94,73573,none
116,Who's Afraid of Virginia Woolf?,131 min,(1966),8.0,75,73433,none
117,In the Heat of the Night,110 min,(1967),7.9,75,71724,24379978
118,The Outlaw Josey Wales,135 min,(1976),7.8,69,71105,31800000
119,M.A.S.H.,116 min,(1970),7.4,80,70960,81600000
120,La Dolce Vita,174 min,(1960),8.0,95,70862,19516000
121,The Dirty Dozen,150 min,(1967),7.7,73,70846,45300000
122,Badlands,94 min,(1973),7.8,93,70777,none
123,Being There,130 min,(1979),8.0,83,70640,30177511
124,Bullitt,114 min,(1968),7.4,81,66490,42300873
125,Soylent Green,97 min,(1973),7.1,66,62209,7920000
